Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.97948718,,,,,,36.39389617,,,,
Angola,AGO,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39999962,10,10,,,,,,,,,,,,,
Albania,ALB,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,39,39,39,39,39,39,,,,,,,,,,,,
Andean Region,ANR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.50594761,,65.80000305,,,,,,76.67097193,,,
United Arab Emirates,ARE,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.19999695,96.09999847,98,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
Argentina,ARG,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,28.5,28.5,28.60000038,28.70000076,29.10000038,29.10000038,29.5,29.5,29.39999962,29,,,30,,,,,,33.99111728,,32.16169514,,,
Armenia,ARM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.19999695,96.59999847,96.69999695,96.69999695,97,96.69999695,96.69999695,96.80000305,96.80000305,,,,,,,,,,,,,,,,
American Samoa,ASM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.95999908,,,,,,,,,,,,
Australia,AUS,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35.70000076,36.40000153,37.09999847,37.90000153,38.59999847,38.70000076,,38.70000076,,40,41,40.8876549,41.08222789,41.56735226,,,42.25883657,42.41219464,43.15680199,43.33593349,43.28664253,,,
Austria,AUT,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Azerbaijan,AZE,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,52.05683572,52.43895952,52.56662588,52.46555668,54.21027466,54.61403602,54.73494868,54.40198459,54.69252253,55.58832824,,,
Burundi,BDI,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.099999905,7,,,,10.43999958,,,,,,,,,,
Belgium,BEL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.19999695,81.19999695,81.19999695,80.59999847,80.69999695,80.69999695,80.69999695,78.19999695,78.19999695,78,78,78.20006812,77.99971951,77.99982732,78.20997278,78.20800018,78.2,78.2,78.22,78.24844817,78.24844817,,,
Benin,BEN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,20,20,20,,,,,,9.5,,,,,,,,,,
Burkina Faso,BFA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.60000038,17.10000038,17.60000038,18.20000076,18.70000076,16,16,16,16,16,13,13,14.69525132,14.99253516,15.74622174,15.83069227,16.55032871,17.61701459,20.26817644,,,20.57487863,,,
Bangladesh,BGD,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.199999809,6.599999905,6.900000095,9.300000191,7.900000095,8.399999619,9.5,9.529999733,9.529999733,10,,,9.5,,,,,,,,,,,
Bulgaria,BGR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.59999847,91.80000305,91.80000305,91.90000153,91.90000153,92,92,92,92.09999847,,,,,,,98.40000153,,,,,98.57113487,98.58548585,,,
Bahrain,BHR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.40000153,75.30000305,78.80000305,,,,75.80000305,76.5,76.90000153,77.40000153,78,75,78.90000153,79.12999725,79.7391063,80.31283711,80.80462793,81.04388471,81.48148148,82.121,82.12,83.69905956,,,
"Bahamas, The",BHS,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,53,54.09999847,55.09999847,56.29999924,57.40000153,57.40000153,57.40000153,57.40000153,57.40000153,57,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54.20000076,53,52.59999847,52.5,52.29999924,52.29999924,52.29999924,52.29999924,52.29999924,,,,,,,,,,92.05831828,92.05831828,,,,
Belarus,BLR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.80000305,96.30000305,98,98.40000153,98.59999847,98.80000305,98.19999695,95.59999847,,89,89,86.69583698,86.42878251,87.1242528,87.02234866,87.38283118,86.29706991,86.69047953,86.31641127,86.40846375,86.52692188,,,
Belize,BLZ,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,16,17,17,17,,,,,,,,,,,,,,
Bermuda,BMU,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.300000191,4.400000095,4.199999809,4,4.699999809,5.5,5.5,5.699999809,6,6.400000095,7,7,6.623535641,7.063258218,7.341836816,6.913053849,6.927754037,6.811431324,7.884976758,9.901987612,10.47162369,11.57033832,,,
Brazil,BRA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.699999809,8.600000381,8.600000381,12.30000019,8.100000381,8.899999619,9.300000191,9.100000381,9.600000381,5.599999905,6,,,,,12.17917664,12.18,12.24,12.24,12.95,13.456,13.54993514,,,
Barbados,BRB,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.80000305,88.5,90.30000305,92.09999847,93.90000153,95.80000305,95.90000153,,98.59999847,98.59999847,99,99,98.59999847,100,100,,,,,,,,,,
Brunei Darussalam,BRN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.39999962,32,32.59999847,33.29999924,33.90000153,34.59999847,,34.70000076,34.70000076,34.70000076,35,,,,79.09757473,78.411,78.025,80.055,81.11846466,79.91252122,80.39701332,82.34063984,,,
Bhutan,BTN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.09999847,79.09999847,77.09999847,74.5,65.19999695,63.70000076,60.70000076,60.70000076,,,,62,,60.35536922,59.00695899,56.0591918,54.69447928,52.44910749,48.63872002,45.14150076,40.38322592,34.15409624,,,
Botswana,BWA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,34,19.89999962,21.10000038,22.20000076,,,,,,,,35.29999924,35.13999939,33.20000076,32.59999847,,,,,,,,,
Sub-Saharan Africa (IFC classification),CAA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.099999905,2.099999905,2.099999905,2.400000095,2.700000048,,,,,,,,,,,6.834993589,6.834993589,,,,
Canada,CAN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,37,35.20000076,,,35.29999924,,,,,,,,,39.86996948,,,,,,,,,,
East Asia and the Pacific (IFC classification),CEA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.94043293,,76.77423798,,,,,,79.53448801,,,
Europe and Central Asia (IFC classification),CEU,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,,,
Channel Islands,CHI,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.80000019,13.80000019,13.80000019,13.80000019,13.80000019,15.89999962,16.70000076,17.20000076,18.29999924,18.89999962,19,20,20.65735094,20.55904858,20.80744414,21.03813574,21.321,21.429,21.826,22.453,23.3,23.75771505,,,
China,CHN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.54651381,47.9488801,40.75834923,44.11595144,49.57140844,53.49960484,58.34227573,60.9300267,63.69838011,,,
Cote d'Ivoire,CIV,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.699999809,8.899999619,9.100000381,9.199999809,9.399999619,9.600000381,9.699999809,9.699999809,9.699999809,9.699999809,10,,,,8.119999886,,,7.929655105,,,,,,,
Latin America and the Caribbean (IFC classification),CLA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa (IFC classification),CME,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.89999962,11.30000019,11.69999981,12.10000038,12.5,12.5,12.5,12.5,12.5,8,,,,8.369999886,,17.36,17.03999653,9.875105417,,10.07215935,,,,
"Congo, Rep.",COG,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,10,,,,5,7.129411765,7.129411765,7.129411765,7.129411765,7.129411765,,,,,
Colombia,COL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89999962,11.89999962,11.89999962,11.89999962,11.89999962,9.199999809,11.89999962,12,14.30000019,14.39999962,,,,,,,,,,,,,,,
Comoros,COM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.30000305,70.69999695,72.09999847,73.5,75,76.5,,,76.5,76.5,77,,,,,,,,,,,,,,
